類別,標題
政治,呱吉飆「五字經」！質疑藍白急推立法　嗆黃國昌「真小人偽君子」
政治,徐巧芯道歉還是要繼續告　陳亭妃：「插隊說」根本是胡扯
政治,「民進黨立委有絕不能退讓的理由」　他曝箇中關鍵
政治,中捷「3刀男」住高雄　2措施應變！陳其邁：全力堵模仿犯
政治,傅崐萁嗆掛白布條「給賴清德辦喪事」　綠委：民主毀在一個更生人手上
政治,國會改革修法吵不完！民進黨提散會動議失敗　國民黨歡呼：繼續開會
政治,美眾議員看不下去立院全武行？　他解讀：不願看到政治分歧
政治,「頭上包的是三角巾不是紗布！」　沈伯洋槓王鴻薇：眼睛有問題
政治,國民黨團提案「延長院會」到12點！　批民進黨拖議事時間
政治,中捷隨機砍人案！北捷急提升警戒、加強巡檢　全線各站派至少1保全
政治,行政院南服中心執行長懸缺3年　花媽子弟兵許乃文接棒...今就職　
政治,徐巧芯自爆故意踹倒綠委嗆「欠打」　陳亭妃提告：教壞下一代
政治,不滿郭國文搶72歲周萬來文件　藍提案送紀律委員會「處最嚴厲處罰」
政治,要被告了！自爆「故意」踹倒陳亭妃　徐巧芯改口：沒蓄意傷害
政治,藐視國會罪二讀　高嘉瑜看不下去：開啟群魔亂舞的濫觴
政治,卓榮泰遞橄欖枝　近期將拜會韓國瑜、儘速與立法院交流
政治,砲轟藍白國會改革「真的爛」　蘇巧慧曝問題點：立院成太上皇？
政治,美國議員爆「看不下去」立院亂鬥！　趙怡翔：他沒有獲得完整資訊
政治,讚韓國瑜耐心又細膩！　洪孟楷揭立院攻防「三點觀察」
政治,苗博雅轟國會修法「是抽國昌一番賞」！國眾版定稿立院官網沒有
政治,民眾黨提案封殺「立委赴中納管」　綠委苦勸未果：是否心裡有鬼？
政治,酸沈伯洋演過頭！王鴻薇：腦震盪竟用紗布包頭　「演戲要做全套」
政治,立院外湧3千抗議群眾　架大螢幕看國會直播「藍綠兩樣情」
政治,立院外集結3千人！苗博雅轟黃國昌：10年前夥伴跟國民黨站一起了
政治,立院58隻手投出59票　藍委坐位置上忘情滑手機也被計入
政治,台外交替代役男販毒被捕　外交部證實：去年以資訊專長申請
政治,好香！立院審國會改革　黃珊珊台下「邊吃炸雞、邊看京華城案」
政治,舉手投票連敗！沈伯洋斥黑箱　沈發惠疾呼：韓國瑜要讓人民藐視？
政治,林楚茵貼藍白「幽靈投票」證據！　嗆韓國瑜：今天不點人數要作票？
政治,林俊憲感嘆　「藐視國會罪在最藐視國會的情況下二讀通過了」
政治,「史上最可恥立法院長」　范雲怒嗆韓國瑜無視場外千人抗議
政治,柯建銘嗆藍白「佔主席台的是習近平」　藍委：你昨天酒喝太多？
政治,綠一度未出席卻喊要協商　韓國瑜再邀朝野協商：柯建銘剛稱身體不舒服
政治,綠祭案海戰術無效！韓國瑜拒清點人數　「藐視國會」舉手表決大戰
政治,「美國友台眾議員看不下去了！」　點名民進黨阻撓國會改革
政治,馬英九：賴清德應修正兩國論　放下意識形態「台海才有和平契機」
政治,傅崐萁徐榛蔚夫妻財產申報曝　擁存款868萬、一年還債413萬
政治,立院吵不停！謝龍介突唱「賴清德剛就職今就送終」　綠嗆：送國民黨
政治,總統才就職！台東大量裝甲車「一路北上」　軍方：例行性移防
政治,劉世芳上任後首露面！視察立院維安　指示加派女警保護女立委
政治,藍白拚推立院職權行使法　黃揚明分析：到下週二都不可能三讀
政治,藍白佔主席台！李坤城突衝議場「壓力測試」　黃捷笑喊：睡覺的起床
政治,民團今立院外集結！陳為廷也發聲　黃國昌喊「尊重」：綠別散播假訊息
政治,腦震盪慎防「二度傷害」　沈伯洋包頭現身、郭國文戴護腰入場
政治,擬再提延長開會時間！柯文哲昨提前討論戰術　黃國昌要綠停止巨嬰鬧劇
政治,賴清德正式就職　侯友宜籲尊重新民意：期待溝通代替衝突
政治,「一生督你一人」2句總結賴清德就職演說！謝龍介嘆：令人失望
政治,學者陳明祺：對岸無法接住賴清德善意　再次錯失歷史良機
政治,盧秀燕號召百團旅遊傳愛花蓮不間斷　台中宗教團體募集善款近2000萬
政治,馬英九卸任禮遇終止　未來改由8名員警輪班保護
政治,國台辦指賴清德「台獨工作者」　陸委會：應尊重台灣人民的選擇
政治,王義川監控說可用「不重複人流」解套？翟神打臉：不懂不要裝懂
政治,藍急推國會改革「吃緊弄破碗」　錯估憲政延長戰遭綠反攻
政治,「破壞民主」遭撤銷NATPA獎項！黃國昌回擊：民主不專屬民進黨
政治,潘孟安、郭雅慧接力推短影音節目　上工10天喊「超精實」
政治,NCC書面報告：3大電信從未給出「青鳥行動」人流資訊
政治,藍要官員舉手答「是否擔心反質詢」　卓榮泰急制止暗酸：這樣沒紀錄
政治,黨員被提名考試委員！國民黨不知情　要求主動說明理由
政治,陸片面終止ECFA中134項關稅減讓　經貿辦：早有因應
政治,王義川一席話陷監控風暴　王婉諭批：真有監控就好好面對司法
政治,假問路真性侵！松山之狼2年犯案21次　監院糾正北市府：未提報社安網
政治,藍要修選罷法　鄭運鵬揭通過「關鍵中的關鍵」：是黃國昌
政治,支持大巨蛋辦演唱會　李四川喊話：議會與市府一同承擔責任
政治,藍營若修《核管法》核電廠可延役？　郭智輝語帶保留：將依法行政
政治,陸又中止ECFA產品關稅減讓　總統府：典型的經濟脅迫
政治,黃國昌昔堅持罷免「低門檻」　林俊憲嗆：有臉配合藍營提高門檻嗎？
政治,為中天解套？藍修法草案付委　李坤城：擴權法案又一件
政治,大陸中止ECFA關稅減讓　國民黨喊話賴清德：嚴肅面對兩岸經貿問題
政治,藍提拉高罷免門檻又撤案？　綠委轟：心虛！偷雞摸狗一直要做壞事
政治,掰了！黃國昌遭撤銷獎項　北美洲台灣人教授協會：他破壞台灣民主
政治,北市警局人事案惹議　蔣萬安指內政部答應又反悔：未來誰敢相信你？
政治,被控修選罷法為謝國樑解套　許宇甄駁斥：完全不適用
政治,30綠委連署提案修憲「廢考監」　喊話韓國瑜成立修憲委員會
政治,賴清德：對等尊嚴、互利共榮推動兩岸觀光旅遊
政治,要方仰寧內政部卻給李西河　蔣萬安：對溝通過程很遺憾
政治,終於！藍綠立委曬「表決卡」回歸　各自反應曝光
政治,立院國民黨團：下周優先審再生醫療雙法　還要把郭國文送紀律委員會
政治,7名考試委員提名人選出爐！　民眾黨推薦鄧家基、國民黨籍2人
政治,卓揆首赴立院施政報告！藍委集體離席　洪孟楷：對覆議無聲抗議
政治,陸再砍ECFA　陸委會：停止經貿施壓
